Country,Latregion,Lat_mean,Long_mean,iso3Code,region,incomeLevel,wbLong,wbLat,population,landAreaSqkm,popDensity,popLargestCity,lifeExpectancy,gdpCapita,airTransport,carrierDepart,giniIndex,healthExpend,countryWB,soc_econ,huma_exem,lockdown,mov_rest,pub_health,soc_dist,CountryFree,WEBNAME,RegionFree,World Rank,Region Rank,2020 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),confirmedTotal,confirmZeroDays,confirmInfectDays,deathsTotal,deathsZeroDays,deathsInfectDays,recoveredTotal,recoveredZeroDays,recoveredInfectDays,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20
US,Upper,37.0902,-95.7129,USA,North America,High income,-77.032,38.8895,326687501,9147420,35.7136220923495,18819361,78.5390243902439,62886.8364845599,889022000,9879630,41.4,17.0612692832947,United States,48,0,0,12,122,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1551853,0,120,93439,38,82,294312,18,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,4,1,2,3,4,1,6,8,6,8,10,14,26,34,31,94,91,92,145,199,225,309,406,543,475,676,776,1171,1144,1427,1322,1610,1505,1519,2297,2079,2018,2069,2009,1720,1784,2392,2498,2084,2584,2347,1170,1741,2400,2326,2312,1769,2262,1126,1338,2136,2612,2029,1947,1426,1313,1240,2142,2391,2207,1518,1615,731,1156,1674,1763,1779,1632,1224,808,785,1574,1518
United Kingdom,Upper,24.5481727272727,-43.9022454545455,GBR,Europe & Central Asia,High income,-0.126236,51.5002,66460344,241930,274.708981936924,9046485,81.3560975609756,42962.4127663553,165388610,1242985,34.8,9.63169410824776,United Kingdom,8,0,2,2,10,14,United Kingdom,UnitedKingdom,Europe,7,3,79.3,92.2,82.7,89.9,64.7,49.5,78.1,94.7,73.1,80.3,86.4,80,80,1.8,45,20,33.3,41.0292651916333,66.466,3037.787,1.398,2.1,45704.62,4,2.478,64486.779263054,86.857,249461,9,111,35782,44,76,1019,21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,2,1,18,15,22,16,34,43,36,56,35,74,149,186,184,284,294,215,374,383,671,652,715,761,645,571,1038,1036,1104,1153,840,686,745,1048,846,1033,936,1118,498,565,1172,847,729,1012,844,420,341,911,797,676,741,622,315,289,692,649,539,627,346,268,211,628,495,429,385,468,170,160,546,364
Italy,Upper,43,12,ITA,Europe & Central Asia,High income,12.4823,41.8955,60421760,294140,205.418372203713,4209710,82.9463414634147,34488.6388549862,27630435.6,256596,35.9,8.84025916457176,Italy,34,0,9,20,58,29,Italy,Italy,Europe,74,37,63.8,75.4,51.3,62.2,56,28.5,71.1,70.4,50.9,83.2,86.4,80,50,1.8,43,27.5,42.4,48.8241077772334,60.484,2397.403,0.881,0.9,39636.99,10.2,1.243,24275.9109526789,132.085,227364,9,111,32330,30,90,132282,31,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,2,5,4,8,5,18,27,28,41,49,36,133,97,168,196,189,250,175,368,349,345,475,427,627,793,651,601,743,683,712,919,889,756,812,837,727,760,766,681,525,636,604,542,610,570,619,431,566,602,578,525,575,482,433,454,534,437,464,420,415,260,333,382,323,285,269,474,174,195,236,369,274,243,194,165,179,172,195,262,242,153,145,99,162,161
France,Upper,8.30567272727273,5.42901818181818,FRA,Europe & Central Asia,High income,2.35097,48.8566,66977107,547556.9921875,122.319882597837,10900952,82.5268292682927,41469.9195544229,70188028,597412,31.6,11.3128922879696,France,30,0,5,11,43,23,France,France,Europe,64,34,66,85.9,71.2,83.3,48.8,4.5,67.1,82.5,46.1,76.7,81.4,75,70,1.8,45,31,46.2,56.4254060143333,64.725,2962.799,1.521,1.4,45775.15,9.2,2.102,37293.8478971659,98.594,179070,2,118,28084,24,96,61714,21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,3,2,8,0,14,15,0,31,12,0,57,0,0,95,207,112,112,186,240,231,365,299,319,292,418,499,880,984,1120,1053,518,833,1417,541,1341,987,635,561,574,745,1436,753,760,642,391,546,525,544,516,389,369,242,437,367,427,289,218,166,135,304,330,274,177,243,79,70,263,347,81,349,104,-2,579,131,-217,108
Spain,Upper,40,-4,ESP,Europe & Central Asia,High income,-3.70327,40.4167,46796540,499563.984375,93.6747673244434,6497124,83.3341463414634,30323.651062874,80672105,641020,34.7,8.87312963604927,Spain,25,0,9,11,65,35,Spain,Spain,Europe,58,31,66.9,74.9,51.8,55.1,62.1,48.3,62.6,66.8,57.7,82,86.4,85,70,1.8,45,25,33.7,41.5136712373333,46.449,1864.419,2.529,2.7,40138.82,15.5,1.675,43591.1660902513,97.016,232555,10,110,27888,41,79,150376,24,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,7,11,7,19,1,78,62,94,53,191,90,207,213,332,397,539,497,839,718,773,844,821,913,748,923,961,850,749,694,700,704,747,655,634,525,603,547,300,652,607,687,41,410,399,430,435,440,367,378,288,331,301,453,268,0,557,164,164,185,244,213,229,179,143,123,176,184,217,138,104,0,146,69,110
Belgium,Upper,50.8333,4,BEL,Europe & Central Asia,High income,4.36761,50.8371,11433256,30280,377.584412153236,2049510,81.5951219512195,47472.1367302078,13639487,140674,27.4,10.338669270277,Belgium,33,0,2,8,49,44,Belgium,Belgium,Europe,48,26,68.9,84.5,62.5,80.2,46.7,17.2,77,75.2,61.1,80.5,86.4,85,70,1.8,50,29,44.6,52.5337959521667,11.411,550.501,1.434,1.5,48244.66,6.3,2.311,4872.57876037253,101.387,55983,13,107,9150,49,71,14847,26,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,5,4,7,16,30,8,13,34,56,42,69,64,78,82,192,123,183,132,140,164,185,403,205,283,496,327,254,303,254,283,417,306,290,230,145,170,264,228,189,238,177,113,124,170,93,109,62,79,80,92,323,76,106,60,75,51,54,82,60,56,46,47,28,28,42
Germany,Upper,51,9,DEU,Europe & Central Asia,High income,13.4115,52.5235,82905782,349360,237.30759674834,3552123,80.9926829268293,47615.7400276733,109796202.17431,922648.643490196,31.9,11.2468346953392,Germany,40,0,3,15,38,19,Germany,Germany,Europe,27,14,73.5,80.5,74.3,82.8,60.9,42.2,92.9,82.8,53,76.7,86.4,80,70,1.8,47.5,15.8,37.5,43.8861421898333,82.886,4356.353,1.452,1.9,52558.69,3.4,1.927,25706.1580046979,59.754,178473,5,115,8144,47,73,156966,22,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,2,2,6,7,4,16,23,17,10,29,34,49,61,75,91,100,112,130,145,187,168,169,140,226,206,333,258,160,-31,286,172,100,510,248,300,107,127,276,171,246,296,185,117,99,150,188,153,156,113,76,54,127,0,282,117,118,39,20,92,77,123,23,13,41,24,41,78,63
Iran,Upper,32,53,IRN,Middle East & North Africa,Upper middle income,51.4447,35.6878,81800269,1628760,50.222420123284,8895947,76.479,5627.74926845456,25604871.412779,228803.615779,40.8,8.65966379642487,"Iran, Islamic Rep.",7,0,3,6,11,14,Iran,Iran,Middle East and North Africa,164,13,49.2,36.9,37.1,33.5,81,89.2,86.5,57.3,50.7,49,54.6,5,10,15.2,35,25,7.3,18.98,82.36,1610.677,-3.928,2.8,19556.55,12,31.165,3480.333,33.184,126949,28,92,7183,28,92,98808,35,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,4,4,3,7,8,9,11,12,11,15,15,17,21,49,43,54,63,75,85,97,113,129,135,147,149,149,123,129,127,122,143,157,144,139,123,117,141,138,124,134,158,151,136,133,121,117,122,125,117,111,98,94,92,89,73,87,91,88,94,90,93,76,60,96,71,80,71,63,65,47,74,63,78,68,55,48,51,45,48,50,71,48,35,51,69,62,64
Canada,Upper,51.6739,-95.2022230769231,CAN,North America,High income,-75.6919,45.4215,37057765,9093510,4.07518823864492,6082425,81.9487804878049,46234.3507461125,89380000,1475062.58618088,33.8,10.5727694928646,Canada,24,0,0,8,39,4,Canada,Canada,Americas,9,1,78.2,87.7,72.7,90.3,76.5,50.9,83.3,81.7,72,76,87,80,80,1.5,33,15,32.2,40.4529198582,36.994,1836.816,1.834,1.9,49651.18,5.9,0.942,39624.6218435513,90.63,81574,4,116,6149,47,73,40793,21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,3,1,3,7,1,4,1,4,8,16,7,3,16,21,8,30,40,39,41,80,36,32,96,54,97,60,67,120,107,251,97,45,164,162,183,168,163,161,169,116,154,142,172,155,227,147,111,208,187,176,175,156,126,168,124,185,125,167,87,121,103,57,68,122
Netherlands,Upper,21.40834,-53.00556,NLD,Europe & Central Asia,High income,4.89095,52.3738,17231624,33690,511.475927574948,1131690,81.7609756097561,53022.1913911959,43996044.579144,325942.296,28.5,10.1008348166943,Netherlands,4,0,0,0,6,22,Netherlands,Netherlands,Europe,14,8,77,90,73.9,90.1,51.7,45.2,94.1,80.4,60.2,82.5,86.4,90,80,1.8,52,25,38.8,42.7324320017,17.19,969.228,2.536,2.2,56383.25,3.9,1.602,69658.518160035,54.437,44447,36,84,5748,44,76,0,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,5,2,8,4,19,15,18,30,30,43,34,63,80,78,112,93,132,93,175,134,166,148,164,115,101,234,147,148,115,132,94,86,122,189,181,144,142,83,67,165,138,123,112,120,66,43,48,145,84,98,94,69,26,86,36,84,71,63,18,16,54,52,28,53,27,10,14,21,33
